number,source_title,audio_card_title,duration,filename,bytes,sha256
35,The FIN11 Study: Antipsychotic Treatment and Schizophrenia Mortality,Antipsychotics reduce schizophrenia mortality,1:50,OE-35_The_FIN11_Study_Antipsychotic_Treatment_and_Schizophrenia_Mortality__Antipsychotics_reduce_schizophrenia_mortality.m4a,3570019,beaf6f8724d1d0425e933cd06568bb17a3467c72c523b0ddc3496045812d6336
36,The Genesis of Modern Psychopharmacology: Chlorpromazine 1952,How chlorpromazine replaced the lobotomy,1:33,OE-36_The_Genesis_of_Modern_Psychopharmacology_Chlorpromazine_1952__How_chlorpromazine_replaced_the_lobotomy.m4a,3019966,057f7db476d935e1d43298eb173ba7ec236588c252c4a7c39ae30efab356aae9
37,The Gold Standard Foundations of CPT and PE for PTSD,Resick Trial Gold Standard PTSD Evidence,1:44,OE-37_The_Gold_Standard_Foundations_of_CPT_and_PE_for_PTSD__Resick_Trial_Gold_Standard_PTSD_Evidence.m4a,3357744,ce802ca5d700b7b02076c48e9b678d0a7a9bc0e77e6f68d9632fae7ee32a63ee
38,The HELP Trial: Multicomponent Strategies for Delirium Prevention,Stopping delirium with the HELP trial,1:47,OE-38_The_HELP_Trial_Multicomponent_Strategies_for_Delirium_Prevention__Stopping_delirium_with_the_HELP_trial.m4a,3450376,6e7bffac1e2b9f4a59eda56c493d151792db7c21c39083f24ce2202ec611111b
39,The IMPACT Trial: Collaborative Care for Late-Life Depression,Collaborative Care Doubles Depression Recovery Rates,1:47,OE-39_The_IMPACT_Trial_Collaborative_Care_for_Late_Life_Depression__Collaborative_Care_Doubles_Depression_Recovery_Rates.m4a,3461582,38cb0c0a0a98225c9b574308e01ba6a96d30a48269bfec9f6a2e09649333392c
40,The Kane Study: Clozapine in Treatment-Resistant Schizophrenia,Clozapine for Treatment Resistant Schizophrenia,1:58,OE-40_The_Kane_Study_Clozapine_in_Treatment_Resistant_Schizophrenia__Clozapine_for_Treatment_Resistant_Schizophrenia.m4a,3801601,d553ee3ccd7205cda9a7f5a217001ad3e9821b993cbbcbac423d6f0b4127a092
41,The Leucht Meta-Analysis: Antipsychotic Maintenance and Relapse Prevention,Maintenance Antipsychotics and the NNT of 3,1:55,OE-41_The_Leucht_Meta_Analysis_Antipsychotic_Maintenance_and_Relapse_Prevention__Maintenance_Antipsychotics_and_the_NNT_of_3.m4a,3705233,9a43bd6d99321d2b3f32599f30b0bea4b158eca2969351a4155041139e7809a1
42,The MoCA Validation Study: Superior Screening for Cognitive Impairment,Why MoCA Catches What MMSE Misses,2:00,OE-42_The_MoCA_Validation_Study_Superior_Screening_for_Cognitive_Impairment__Why_MoCA_Catches_What_MMSE_Misses.m4a,3876420,45c9f0dcd56f868e537aead10bd5e9facabf5bb6801607932048929ebd04b71f
43,The NIMH Treatment of Depression Collaborative Research Program,Talk Therapy Matches Antidepressants for Major Depression,2:00,OE-43_The_NIMH_Treatment_of_Depression_Collaborative_Research_Program__Talk_Therapy_Matches_Antidepressants_for_Major_Depression.m4a,3883891,b5293bfc554794e48101138b22ec31781fb4e7c927a23b28bdb043df40f219b8
44,The POTS Trial: Advancing Pediatric OCD Treatment Standards,CBT plus SSRIs for Pediatric OCD,1:42,OE-44_The_POTS_Trial_Advancing_Pediatric_OCD_Treatment_Standards__CBT_plus_SSRIs_for_Pediatric_OCD.m4a,3293498,0493be26a71588b212bc74668b7cb8ef957585e4b4acfda9fd710b8dc9df3e43
45,The Rosenhan Study: Diagnostic Validity and Institutional Bias,Why Doctors Couldn't Spot Sane Patients,1:45,OE-45_The_Rosenhan_Study_Diagnostic_Validity_and_Institutional_Bias__Why_Doctors_Couldn_t_Spot_Sane_Patients.m4a,3410036,1801ef56c63833c3be7615dfaaa0015a5a4a9dc71bdb29e5ceaaf12f32d37a3b
46,The STAR*D Trial: Benchmarking Depression Treatment Outcomes,The STARD Trial Remission Reality Check,1:57,OE-46_The_STAR_D_Trial_Benchmarking_Depression_Treatment_Outcomes__The_STARD_Trial_Remission_Reality_Check.m4a,3783672,c31473593b655493384fe25ef2a955e085df1b011604babfa32bdfc0eb4d1eee
47,The Stanley & Brown Safety Planning Intervention Guide,Safety Planning Beats No-Suicide Contracts,2:12,OE-47_The_Stanley_and_Brown_Safety_Planning_Intervention_Guide__Safety_Planning_Beats_No_Suicide_Contracts.m4a,4273961,6f4e7b3d6150c63c29a416b2d88d22167493aa741432c80805e24ba129fa0db0
48,The Therapeutic Alliance and Psychotherapy Outcomes Study Summary,Therapeutic Alliance Predicts Treatment Outcomes,1:48,OE-48_The_Therapeutic_Alliance_and_Psychotherapy_Outcomes_Study_Summary__Therapeutic_Alliance_Predicts_Treatment_Outcomes.m4a,3491464,e4f189e1dbfd8b6d2a145f4b631a2aa7a2e3834459f73cf6655779485dc06d35
49,Validating the CAM-ICU for Delirium Screening,Detecting delirium in patients who cannot speak,1:38,OE-49_Validating_the_CAM_ICU_for_Delirium_Screening__Detecting_delirium_in_patients_who_cannot_speak.m4a,3168627,3dd744319c06606447310e0a6888b45889086a43153cf6695367d05f242063bc
50,Zarate 2006: Ketamine for Treatment-Resistant Depression Study Summary,Ketamine treats resistant depression in hours,1:27,OE-50_Zarate_2006_Ketamine_for_Treatment_Resistant_Depression_Study_Summary__Ketamine_treats_resistant_depression_in_hours.m4a,2819644,d4bab66a3fef63e7aab5a133b116f93c32a93ed5a0dc5943fccd16c3e8c7f13e
