canonical_id,audio_lm,paper,topic,duration,audio_file,quiz,quiz_n,doi,oe_id,status,note
SP-15,LM-15,Miklowitz 2003 - FFT Bipolar,Mood / Family,1:53,15_LM_15_Miklowitz_2003_FFT_Bipolar_1_53.m4a,Family-Focused Therapy and Relapse Prevention in Bipolar Disorder,7,10.1001/archpsyc.60.9.904,LM-41,quiz+DOI,
SP-16,LM-16,Diamond 2010 - ABFT,Family & Systems / Child,1:53,19_LM_16_Diamond_2010_ABFT_1_53.m4a,,0,10.1016/j.jaac.2009.11.002,,needs quiz+DOI,
SP-17,LM-17,Pinsof 1995 - Systemic Meta,Family & Systems,2:00,17_LM_17_Pinsof_1995_Systemic_Meta_2_00.m4a,,0,10.1111/j.1752-0606.1995.tb00179.x,,needs quiz+DOI,
SP-18,LM-18,Minuchin 1978 - Psychosomatic Families,Family & Systems,1:50,18_LM_18_Minuchin_1978_Psychosomatic_Families_1_50.m4a,,0,10.4159/harvard.9780674418233,,needs quiz+DOI,
SP-19,LM-19,Leff 2000 - Couple Therapy Depression,Family & Systems,1:45,16_LM_19_Leff_2000_Couple_Therapy_Depression_1_45.m4a,,0,10.1192/bjp.177.2.95,,needs quiz+DOI,
SP-20,LM-20,Pharoah 2010 - Cochrane Family,Family & Systems,1:35,20_LM_20_Pharoah_2010_Cochrane_Family_1_35.m4a,,0,10.1002/14651858.cd000088.pub3,,needs quiz+DOI,
SP-21,LM-21,Linehan 1991 - DBT,Personality,1:54,24_LM_21_Linehan_1991_DBT_1_54.m4a,Foundations of Dialectical Behavior Therapy for Borderline Personality Disorder,6,10.1001/archpsyc.1991.01810360024003,LM-07,quiz+DOI,
SP-22,LM-22,Bateman 1999 - MBT,Personality,2:02,21_LM_22_Bateman_1999_MBT_2_02.m4a,,0,10.1176/ajp.156.10.1563,,needs quiz+DOI,
SP-23,LM-23,Wampold 2001 - Common Factors,Skills / Therapy,1:42,22_LM_23_Wampold_2001_Common_Factors_1_42.m4a,,0,,,needs quiz+DOI,
SP-24,LM-24,Shedler 2010 - Psychodynamic,Skills / Therapy,1:43,23_LM_24_Shedler_2010_Psychodynamic_1_43.m4a,,0,10.1037/a0018378,,needs quiz+DOI,
SP-25,LM-25,Norcross 2011 - Alliance,Skills / Therapy,1:44,25_LM_25_Norcross_2011_Alliance_1_44.m4a,The Therapeutic Alliance and Psychotherapy Outcomes Study Summary,6,10.1037/pst0000172,LM-33,quiz+DOI,"OE match is Flückiger (alliance, related)"
SP-26,LM-26,Rosenhan 1973 - Pseudopatients,Foundations,1:50,26_LM_26_Rosenhan_1973_Pseudopatients_1_50.m4a,The Rosenhan Study: Diagnostic Validity and Institutional Bias,6,10.1126/science.179.4070.250,LM-49,quiz+DOI,
SP-27,LM-27,Appelbaum 1988 - Capacity,Acute & Safety,1:49,27_LM_27_Appelbaum_1988_Capacity_1_49.m4a,,0,10.1056/nejm198812223192504,,needs quiz+DOI,
SP-28,LM-28,Bush-Francis 1996 - Catatonia,Acute & Safety,1:35,28_LM_28_Bush_Francis_1996_Catatonia_1_35.m4a,The Bush-Francis Catatonia Rating Scale and Lorazepam Protocol,6,10.1111/j.1600-0447.1996.tb09814.x,LM-12,quiz+DOI,
SP-29,LM-29,Foa 2005 - Prolonged Exposure,Anxiety/Trauma/OCD,1:42,29_LM_29_Foa_2005_Prolonged_Exposure_1_42.m4a,The Gold Standard Foundations of CPT and PE for PTSD,6,10.1037/0022-006X.70.4.867,LM-27,quiz+DOI,quiz covers CPT+PE; OE match Resick CPT (related)
SP-30,LM-30,TADS 2004 - Adolescent Depression,Child / Mood,1:44,30_LM_30_TADS_2004_Adolescent_Depression_1_44.m4a,TADS: Evaluating Combination Therapy for Adolescent Depression,5,10.1001/jama.292.7.807,LM-20,quiz+DOI,
SP-31,LM-31,Zanarini 2005 - BPD Remission,Personality,1:48,32_LM_31_Zanarini_2005_BPD_Remission_1_48.m4a,,0,10.1521/pedi.2005.19.5.505,,needs quiz+DOI,
SP-32,LM-32,Gunderson 2018 - BPD Review,Personality,1:46,33_LM_32_Gunderson_2018_BPD_Review_1_46.m4a,,0,10.1038/nrdp.2018.29,,needs quiz+DOI,
SP-33,LM-33,Mann 2005 - Suicide Prevention,Acute & Safety,1:38,31_LM_33_Mann_2005_Suicide_Prevention_1_38.m4a,Evidence-Based Strategies for Systematic Suicide Prevention,6,10.1001/jama.294.16.2064,LM-10,quiz+DOI,
SP-34,LM-34,Stanley 2012 - Safety Planning,Acute & Safety,1:50,34_LM_34_Stanley_2012_Safety_Planning_1_50.m4a,The Stanley & Brown Safety Planning Intervention Guide,6,10.1001/jamapsychiatry.2018.1776,LM-37,quiz+DOI,
SP-35,LM-35,Franklin 2017 - Risk Factors,Acute & Safety,1:38,35_LM_35_Franklin_2017_Risk_Factors_1_38.m4a,,0,10.1037/bul0000084,,needs quiz+DOI,
SP-36,LM-36,Caspi 2003 - 5-HTTLPR,Neuroscience,1:47,51_LM_36_Caspi_2003_5_HTTLPR_1_47.m4a,,0,10.1126/science.1083968,,needs quiz+DOI,
SP-37,LM-37,Border 2019 - Non-Replication,Neuroscience,1:36,37_LM_37_Border_2019_Non_Replication_1_36.m4a,,0,10.1176/appi.ajp.2018.18070881,,needs quiz+DOI,
SP-38,LM-38,Sekar 2016 - C4 Schizophrenia,Neuroscience / Psychosis,1:50,36_LM_38_Sekar_2016_C4_Schizophrenia_1_50.m4a,,0,10.1038/nature16549,,needs quiz+DOI,
SP-39,LM-39,Kernberg 1984 - Personality Org,Personality,1:56,39_LM_39_Kernberg_1984_Personality_Org_1_56.m4a,,0,,,needs quiz+DOI,
SP-40,LM-40,Gabbard 1995 - Boundaries,Skills / Ethics,1:46,38_LM_40_Gabbard_1995_Boundaries_1_46.m4a,,0,10.1176/ajp.150.2.188,,needs quiz+DOI,DOI=Gutheil&Gabbard 1993 (canonical boundaries paper)
SP-41,LM-41,Engel 1977 - Biopsychosocial,Foundations,1:47,40_LM_41_Engel_1977_Biopsychosocial_1_47.m4a,The Engel Biopsychosocial Model: Foundations of Modern Psychiatry,6,10.1126/science.847460,LM-48,quiz+DOI,
SP-42,LM-42,Robins-Guze 1970 - Diagnostic Validity,Foundations,1:54,44_LM_42_Robins_Guze_1970_Diagnostic_Validity_1_54.m4a,,0,10.1176/ajp.126.7.983,,needs quiz+DOI,
SP-43,LM-43,Stein-Test 1980 - ACT,Systems,1:54,43_LM_43_Stein_Test_1980_ACT_1_54.m4a,,0,10.1001/archpsyc.1980.01780170034003,,needs quiz+DOI,
SP-44,LM-44,Felitti 1998 - ACE Study,Trauma,1:52,41_LM_44_Felitti_1998_ACE_Study_1_52.m4a,,0,10.1016/s0749-3797(98)00017-8,,needs quiz+DOI,
SP-45,LM-45,Project MATCH 1997,Substance Use,1:53,42_LM_45_Project_MATCH_1997_1_53.m4a,Project MATCH: Brief Interventions and Motivational Enhancement Efficiency,6,10.1111/j.1530-0277.1998.tb03912.x,LM-34,quiz+DOI,
SP-46,LM-46,Volkow 2016 - Addiction,Substance Use,1:53,47_LM_46_Volkow_2016_Addiction_1_53.m4a,,0,10.1056/nejmra1511480,,needs quiz+DOI,
SP-47,LM-47,MTA 1999 - ADHD,Child,1:45,46_LM_47_MTA_1999_ADHD_1_45.m4a,,0,10.1001/archpsyc.56.12.1073,,needs quiz+DOI,
SP-48,LM-48,Bridge 2007 - Pediatric SSRI,Child / Mood,1:41,45_LM_48_Bridge_2007_Pediatric_SSRI_1_41.m4a,Pediatric Antidepressants and the FDA Black Box Warning,6,10.1001/archpsyc.63.3.332,LM-16,quiz+DOI,OE match Hammad black box (related)
SP-49,LM-49,Inouye 1999 - Delirium,Geriatric/Delirium,1:59,48_LM_49_Inouye_1999_Delirium_1_59.m4a,The HELP Trial: Multicomponent Strategies for Delirium Prevention,5,10.1056/NEJM199903043400901,LM-06,quiz+DOI,
SP-50,LM-50,Insel 2010 - RDoC,Foundations / Neuroscience,1:44,49_LM_50_Insel_2010_RDoC_1_44.m4a,,0,10.1176/appi.ajp.2010.09091379,,needs quiz+DOI,
