id,number,short_title,topic_bucket,importance_stars,difficulty,practice_changing,doi,primary_citation
LM-27,27,Resick et al. — Cognitive Processing Therapy for PTSD,Anxiety/Trauma/OCD,4,Intermediate,Yes — CPT and PE are the standard of care for PTSD.,10.1037/0022-006X.70.4.867,"Resick PA, Nishith P, Weaver TL, Astin MC, Feuer CA. ""A Comparison of Cognitive-Processing Therapy with Prolonged Exposure and a Waiting Condition for the Treatment of Chronic Posttraumatic Stress Disorder in Female Rape Victims."" Journal of Consulting and Clinical Psychology. 2002;70(4):867–879. doi:10.1037/0022-006X.70.4.867. PubMed: 12182270"
LM-28,28,Brady et al. — Sertraline for PTSD,Anxiety/Trauma/OCD,4,Introductory,Yes — sertraline remains first-line pharmacotherapy for PTSD.,10.1001/jama.283.14.1837,"Brady K, Pearlstein T, Asnis GM, et al. ""Efficacy and Safety of Sertraline Treatment of Posttraumatic Stress Disorder: A Randomized Controlled Trial."" JAMA. 2000;283(14):1837–1844. doi:10.1001/jama.283.14.1837. PubMed: 10770145"
LM-29,29,POTS — Pediatric OCD Treatment Study,Anxiety/Trauma/OCD,4,Introductory,Yes — guides pediatric OCD treatment.,10.1001/jama.292.16.1969,"Pediatric OCD Treatment Study (POTS) Team. ""Cognitive-Behavior Therapy, Sertraline, and Their Combination for Children and Adolescents with Obsessive-Compulsive Disorder."" JAMA. 2004;292(16):1969–1976. doi:10.1001/jama.292.16.1969. PubMed: 15507582"
LM-30,30,Huhn et al. — Comparative Efficacy of 32 Antipsychotics,Psychosis,4,Intermediate,Yes — the definitive antipsychotic comparison reference.,10.1016/S0140-6736(19)31135-3,"Huhn M, Nikolakopoulou A, Schneider-Thoma J, et al. ""Comparative Efficacy and Tolerability of 32 Oral Antipsychotics for the Acute Treatment of Adults with Multi-Episode Schizophrenia."" Lancet. 2019;394(10202):939–951. doi:10.1016/S0140-6736(19)31135-3. PubMed: 31303314"
LM-31,31,Tiihonen et al. — FIN11 Mortality Study,Psychosis,4,Intermediate,Yes — counters the narrative that antipsychotics are harmful long-term.,10.1016/S0140-6736(09)60742-X,"Tiihonen J, Lönnqvist J, Wahlbeck K, et al. ""11-Year Follow-Up of Mortality in Patients with Schizophrenia: A Population-Based Cohort Study (FIN11 Study)."" Lancet. 2009;374(9690):620–627. doi:10.1016/S0140-6736(09)60742-X. PubMed: 19595447"
LM-32,32,Elkin et al. — NIMH Treatment of Depression Collaborative Research Program,Skills/Therapy/Systems,4,Intermediate,Partially — methodology remains influential; specific findings have been refined.,10.1001/archpsyc.1989.01810110013002,"Elkin I, Shea MT, Watkins JT, et al. ""National Institute of Mental Health Treatment of Depression Collaborative Research Program: General Effectiveness of Treatments."" Archives of General Psychiatry. 1989;46(11):971–982. doi:10.1001/archpsyc.1989.01810110013002. PubMed: 2684085"
LM-33,33,Flückiger et al. — Therapeutic Alliance Meta-Analysis,Skills/Therapy/Systems,4,Introductory,Yes — the therapeutic relationship is central to all psychiatric care.,10.1037/pst0000172,"Flückiger C, Del Re AC, Wampold BE, Horvath AO. ""The Alliance in Adult Psychotherapy: A Meta-Analytic Synthesis."" Psychotherapy. 2018;55(4):316–340. doi:10.1037/pst0000172. PubMed: 30335440"
LM-34,34,Miller & Rollnick — Motivational Interviewing / Project MATCH,Substance Use,4,Introductory,Yes — MI is a foundational clinical skill.,10.1111/j.1530-0277.1998.tb03912.x,"Project MATCH Research Group. ""Matching Alcoholism Treatments to Client Heterogeneity: Project MATCH Posttreatment Drinking Outcomes."" Journal of Studies on Alcohol. 1997;58(1):7–29. PubMed: 8979210"
LM-35,35,Ely et al. — CAM-ICU Validation,Geriatric/Delirium,4,Introductory,Yes — standard ICU delirium screening tool.,10.1001/jama.286.21.2703,"Ely EW, Inouye SK, Bernard GR, et al. ""Delirium in Mechanically Ventilated Patients: Validity and Reliability of the Confusion Assessment Method for the Intensive Care Unit (CAM-ICU)."" JAMA. 2001;286(21):2703–2710. doi:10.1001/jama.286.21.2703. PubMed: 11730446"
LM-36,36,Guo et al. — Measurement-Based Care for Depression,Mood,5,Introductory,Yes — MBC is now the standard of care for depression treatment.,10.1176/appi.ajp.2015.14050652,"Guo T, Xiang YT, Xiao L, et al. ""Measurement-Based Care Versus Standard Care for Major Depression: A Randomized Controlled Trial with Blind Raters."" American Journal of Psychiatry. 2015;172(10):1004–1013. doi:10.1176/appi.ajp.2015.14050652. PubMed: 25869507"
LM-37,37,Stanley & Brown — Safety Planning Intervention,Acute & Safety,5,Introductory,Yes — the standard brief suicide prevention intervention.,10.1001/jamapsychiatry.2018.1776,"Stanley B, Brown GK, Brenner LA, et al. ""Comparison of the Safety Planning Intervention with Follow-Up vs Usual Care of Suicidal Patients Treated in the Emergency Department."" JAMA Psychiatry. 2018;75(9):894–900. doi:10.1001/jamapsychiatry.2018.1776. PubMed: 29998307"
LM-38,38,Schneider et al. — CATIE-AD (Antipsychotics in Dementia),Geriatric/Delirium,5,Intermediate,Yes — shapes every antipsychotic prescription in dementia.,10.1056/NEJMoa061240,"Schneider LS, Tariot PN, Dagerman KS, et al. ""Effectiveness of Atypical Antipsychotic Drugs in Patients with Alzheimer's Disease."" New England Journal of Medicine. 2006;355(15):1525–1538. doi:10.1056/NEJMoa061240. PubMed: 17035647"
LM-39,39,Nasreddine et al. — Montreal Cognitive Assessment (MoCA),Geriatric/Delirium,4,Introductory,Yes — the standard cognitive screening tool.,10.1111/j.1532-5415.2005.53221.x,"Nasreddine ZS, Phillips NA, Bédirian V, et al. ""The Montreal Cognitive Assessment, MoCA: A Brief Screening Tool for Mild Cognitive Impairment."" Journal of the American Geriatrics Society. 2005;53(4):695–699. doi:10.1111/j.1532-5415.2005.53221.x. PubMed: 15817019"
LM-40,40,Reisberg et al. — Memantine for Moderate-to-Severe Alzheimer's Disease,Geriatric/Delirium,4,Introductory,Yes — memantine remains standard of care for moderate-to-severe AD.,10.1056/NEJMoa013128,"Reisberg B, Doody R, Stöffler A, et al. ""Memantine in Moderate-to-Severe Alzheimer's Disease."" New England Journal of Medicine. 2003;348(14):1333–1341. doi:10.1056/NEJMoa013128. PubMed: 12672860"
LM-41,41,Miklowitz et al. — Family-Focused Therapy for Bipolar Disorder,Mood,4,Intermediate,Yes — family psychoeducation is a guideline-recommended intervention.,10.1001/archpsyc.60.9.904,"Miklowitz DJ, George EL, Richards JA, Simoneau TL, Suddath RL. ""A Randomized Study of Family-Focused Psychoeducation and Pharmacotherapy in the Outpatient Management of Bipolar Disorder."" Archives of General Psychiatry. 2003;60(9):904–912. doi:10.1001/archpsyc.60.9.904. PubMed: 12963672"
LM-42,42,Cuijpers et al. — Psychotherapy for Depression Meta-Analysis,Skills/Therapy/Systems,4,Introductory,Yes — the definitive psychotherapy evidence base.,10.1002/wps.21069,"Cuijpers P, Miguel C, Harrer M, et al. ""Cognitive Behavior Therapy vs. Control Conditions, Other Psychotherapies, Pharmacotherapies and Combined Treatment for Depression: A Comprehensive Meta-Analysis Including 409 Trials with 52,702 Patients."" World Psychiatry. 2023;22(1):105–115. doi:10.1002/wps.21069. PubMed: 36640389"
LM-43,43,Anthony — Recovery Model in Mental Health,Skills/Therapy/Systems,4,Introductory,Yes — the recovery model is the philosophical foundation of modern mental health services.,10.1037/h0095655,"Anthony WA. ""Recovery from Mental Illness: The Guiding Vision of the Mental Health Service System in the 1990s."" Psychosocial Rehabilitation Journal. 1993;16(4):11–23. doi:10.1037/h0095655."
LM-44,44,Hamann et al. — Shared Decision Making in Psychiatry,Psychosis,3,Introductory,Yes — SDM is now a core principle of psychiatric care.,10.1034/j.1600-0447.2003.00130.x,"Hamann J, Leucht S, Kissling W. ""Shared Decision Making in Psychiatry."" Acta Psychiatrica Scandinavica. 2003;107(6):403–409. doi:10.1034/j.1600-0447.2003.00130.x. PubMed: 12752015"
LM-45,45,Kirkbride et al. — Social Determinants of Mental Health,Skills/Therapy/Systems,4,Introductory,Yes — increasingly integrated into psychiatric training and practice.,10.1002/wps.21160,"Kirkbride JB, Anglin DM, Colman I, et al. ""The Social Determinants of Mental Health and Disorder: Evidence, Prevention and Recommendations."" World Psychiatry. 2024;23(1):58–90. doi:10.1002/wps.21160. PubMed: 38214615"
LM-46,46,Bowden et al. — Divalproex for Acute Mania,Mood,4,Introductory,"Partially — still used for acute mania, but lithium preferred for maintenance.",10.1001/jama.1994.03510360044034,"Bowden CL, Brugger AM, Swann AC, et al. ""Efficacy of Divalproex vs Lithium and Placebo in the Treatment of Mania."" JAMA. 1994;271(12):918–924. doi:10.1001/jama.1994.03510360044034. PubMed: 8120960"
LM-47,47,Delay & Deniker — Discovery of Chlorpromazine,Psychosis,4,Introductory,Historical only — but the most important historical paper in psychopharmacology.,,"Delay J, Deniker P. ""Le traitement des psychoses par une méthode neurolytique dérivée de l'hibernothérapie."" Comptes Rendus du Congrès des Médecins Aliénistes et Neurologistes de France. 1952;50:497–502."
LM-48,48,Engel — The Biopsychosocial Model,Skills/Therapy/Systems,5,Introductory,Yes — the foundational conceptual model of psychiatry.,10.1126/science.847460,"Engel GL. ""The Need for a New Medical Model: A Challenge for Biomedicine."" Science. 1977;196(4286):129–136. doi:10.1126/science.847460. PubMed: 847460"
LM-49,49,"Rosenhan — ""On Being Sane in Insane Places""",Skills/Therapy/Systems,4,Introductory,Historical only — but profoundly shaped modern diagnostic practices and patient rights.,10.1126/science.179.4070.250,"Rosenhan DL. ""On Being Sane in Insane Places."" Science. 1973;179(4070):250–258. doi:10.1126/science.179.4070.250. PubMed: 4683124"
LM-50,50,van Dyck et al. — CLARITY-AD (Lecanemab for Early Alzheimer's Disease),Geriatric/Delirium,4,Advanced,"Yes — the first disease-modifying AD therapy, though clinical impact is still being defined.",10.1056/NEJMoa2212948,"van Dyck CH, Swanson CJ, Aisen P, et al. ""Lecanemab in Early Alzheimer's Disease."" New England Journal of Medicine. 2023;388(1):9–21. doi:10.1056/NEJMoa2212948. PubMed: 36449413"
