original_path,quarantine_path,kept_canonical,sha256
/Users/jm/Clinical/Patient-Resources/New Education Library/first-episode-psychosis/patient-handout.md,/Users/jm/_Dedupe_Quarantine_2026-06-26/Clinical/Patient-Resources/New Education Library/first-episode-psychosis/patient-handout.md,/Users/jm/Code/reconnect-psychiatry-system/psychoed-library/patient-materials/first-episode-psychosis/First_Episode_Psychosis_Patient_Handout_PAT.md,7869b3819f8dcf909e0dc3936f7dc0b9a6b2163c925cb2b82f71b10245dde86b
/Users/jm/Clinical/ED-Psych-Capstone/MaineHealth-Brand-Design-Philosophy.md,/Users/jm/_Dedupe_Quarantine_2026-06-26/Clinical/ED-Psych-Capstone/MaineHealth-Brand-Design-Philosophy.md,/Users/jm/Code/reconnect-psychiatry-system/teaching/ed-psych-capstone/MaineHealth-Brand-Design-Philosophy.md,9a5d89b3745263756db543f96ce6bd546b79f3422e56ff500e57e7a6346e9037
/Users/jm/Clinical/ED-Psych-Capstone/Staff-Materials/Packet-Assembly-Guide.pdf,/Users/jm/_Dedupe_Quarantine_2026-06-26/Clinical/ED-Psych-Capstone/Staff-Materials/Packet-Assembly-Guide.pdf,/Users/jm/Code/reconnect-psychiatry-system/teaching/ed-psych-capstone/Staff-Materials/Packet-Assembly-Guide.pdf,69a1497d0e62d536df5da18a6aac7472be6198842a2b3c9ff73899eb916cd6a7
/Users/jm/Clinical/Patient-Resources/New Education Library/schizophrenia/patient-handout.md,/Users/jm/_Dedupe_Quarantine_2026-06-26/Clinical/Patient-Resources/New Education Library/schizophrenia/patient-handout.md,/Users/jm/Code/reconnect-psychiatry-system/psychoed-library/patient-materials/schizophrenia/Schizophrenia_Patient_Handout_PAT.md,a3e15a4b2ad013a5687d141ed2d2467a1554cac3fbfc443e59fc4c6207d65c0b
/Users/jm/Gen Psych Resources/files-2/psychiatrists and guns.pptx,/Users/jm/_Dedupe_Quarantine_2026-06-26/Gen Psych Resources/files-2/psychiatrists and guns.pptx,/Users/jm/Gen Psych Resources/psychiatrists and guns.pptx,1e9ef19404dd4860a624a83d6a4be4f15c79ebf211a391d0b7b1be972ca58568
/Users/jm/Clinical/reconnect-video-content/ReConnect_Video_QR_Codes.pdf,/Users/jm/_Dedupe_Quarantine_2026-06-26/Clinical/reconnect-video-content/ReConnect_Video_QR_Codes.pdf,/Users/jm/Code/reconnect-psychiatry-system/teaching/video-qr-system/ReConnect_Video_QR_Codes.pdf,4665863dd1f540a0dc7b8024882cad9ac175ee6e0d18f608b3f4498ce0802e50
/Users/jm/Clinical/Manuals/Archive-01/ReConnect_YoungAdult_Manual_Master_Completev2.md,/Users/jm/_Dedupe_Quarantine_2026-06-26/Clinical/Manuals/Archive-01/ReConnect_YoungAdult_Manual_Master_Completev2.md,/Users/jm/Clinical/Manuals/Archive-01/ReConnect_YoungAdult_Manual_Master_Complete_1.md,771b04397708a22c2193bb34ba4a53cc2cf7273ca2fa7b20da0f7ee467412b9b
/Users/jm/Gen Psych Resources/files-4/Summary Chart 2021.docx,/Users/jm/_Dedupe_Quarantine_2026-06-26/Gen Psych Resources/files-4/Summary Chart 2021.docx,/Users/jm/Gen Psych Resources/Summary Chart 2021.docx,8c367da464e11e0a77ef6a9d5526b3848dc78b758aad7991ff253306be71c989
/Users/jm/Clinical/BHU Annual Fund Brainstorm/Portfolio_FINAL_2026-04-30/01_Strategy_Documents/00_Master_Strategy_Plan.docx,/Users/jm/_Dedupe_Quarantine_2026-06-26/Clinical/BHU Annual Fund Brainstorm/Portfolio_FINAL_2026-04-30/01_Strategy_Documents/00_Master_Strategy_Plan.docx,/Users/jm/Clinical/BHU Annual Fund Brainstorm/Drafts_2026-04-30/00_BHU_Annual_Fund_Strategy_Plan.docx,b126b7efc287cfe9a6f5baeab7bb9ed522d8c1a3f88e94afc961a488d27fc624
/Users/jm/Clinical/Presentations:Meeting/MEDSTAFF DINNER/Family-Therapy-Inpatient-Evidence-Repository and FINISHED SLIDE DECK/07_NotebookLM_Source_Packets/00_README_NotebookLM.md,/Users/jm/_Dedupe_Quarantine_2026-06-26/Clinical/Presentations:Meeting/MEDSTAFF DINNER/Family-Therapy-Inpatient-Evidence-Repository and FINISHED SLIDE DECK/07_NotebookLM_Source_Packets/00_README_NotebookLM.md,/Users/jm/Family-Therapy-Inpatient-Evidence-Repository/07_NotebookLM_Source_Packets/00_README_NotebookLM.md,6f48e8cff3fd71c355ca2dde887fcdca928ab327827316a2844b09aaec38fb30
/Users/jm/Clinical/Presentations:Meeting/Family-Therapy-Didactic-June16/Archived versions/Family-Therapy-Didactic-June16/00_README_START_HERE.md,/Users/jm/_Dedupe_Quarantine_2026-06-26/Clinical/Presentations:Meeting/Family-Therapy-Didactic-June16/Archived versions/Family-Therapy-Didactic-June16/00_README_START_HERE.md,/Users/jm/Clinical/Presentations:Meeting/Family-Therapy-Didactic-June16/00_README_START_HERE.md,f7389ab84b0ccecb2f4bdfbff930f81eac4ad7755c1c672e399e91b56ffeb5d7
/Users/jm/Clinical/Presentations:Meeting/Family-Therapy-Didactic-June16/Archived versions/Family-Therapy-Didactic-June16/NotebookLM-Videos/00_README_Workflow_and_Prompts.md,/Users/jm/_Dedupe_Quarantine_2026-06-26/Clinical/Presentations:Meeting/Family-Therapy-Didactic-June16/Archived versions/Family-Therapy-Didactic-June16/NotebookLM-Videos/00_README_Workflow_and_Prompts.md,/Users/jm/Clinical/Presentations:Meeting/Family-Therapy-Didactic-June16/NotebookLM-Videos/00_README_Workflow_and_Prompts.md,94485130f82a183540ac9cba831e5bf10fd32b65ea9a7abfda22b07d61c5a2c5
/Users/jm/Clinical/Presentations:Meeting/Family-Therapy-Didactic-June16/Archived versions/Family-Therapy-Didactic-June16/01_Facilitator_Guide.docx,/Users/jm/_Dedupe_Quarantine_2026-06-26/Clinical/Presentations:Meeting/Family-Therapy-Didactic-June16/Archived versions/Family-Therapy-Didactic-June16/01_Facilitator_Guide.docx,/Users/jm/Clinical/Presentations:Meeting/Family-Therapy-Didactic-June16/01_Facilitator_Guide.docx,7a9d6026843855e042cc4a5d34738b8d0c247b65d5d1fbcaaf4371c93b524c2c
/Users/jm/Clinical/Presentations:Meeting/MEDSTAFF DINNER/Family-Therapy-Inpatient-Evidence-Repository and FINISHED SLIDE DECK/10_MedStaff_Dinner_June9/01_Talk_Script_10min.md,/Users/jm/_Dedupe_Quarantine_2026-06-26/Clinical/Presentations:Meeting/MEDSTAFF DINNER/Family-Therapy-Inpatient-Evidence-Repository and FINISHED SLIDE DECK/10_MedStaff_Dinner_June9/01_Talk_Script_10min.md,/Users/jm/Family-Therapy-Inpatient-Evidence-Repository/10_MedStaff_Dinner_June9/01_Talk_Script_10min.md,96290dffef75169391867001db4fe65ed9a3d74c7328401d228bb5e3d64e9835
/Users/jm/Clinical/reconnect-video-content/Scripts/02_Layer1_Biological_Stabilization.md,/Users/jm/_Dedupe_Quarantine_2026-06-26/Clinical/reconnect-video-content/Scripts/02_Layer1_Biological_Stabilization.md,/Users/jm/Code/reconnect-psychiatry-system/teaching/video-content/Scripts/02_Layer1_Biological_Stabilization.md,e7b73fb6afe8d77dbd3f778017381235c0a986abac7863df92ecdc5136e1ed4e
/Users/jm/Clinical/Presentations:Meeting/Family-Therapy-Didactic-June16/Archived versions/Family-Therapy-Didactic-June16/Handouts/02_Participant_Case_Packet.docx,/Users/jm/_Dedupe_Quarantine_2026-06-26/Clinical/Presentations:Meeting/Family-Therapy-Didactic-June16/Archived versions/Family-Therapy-Didactic-June16/Handouts/02_Participant_Case_Packet.docx,/Users/jm/Clinical/Presentations:Meeting/Family-Therapy-Didactic-June16/Handouts/02_Participant_Case_Packet.docx,1807d04fb05a89e320a57c6b547c6e87a45efaaafbf276911722a411a5a9490a
/Users/jm/Clinical/Presentations:Meeting/MEDSTAFF DINNER/Family-Therapy-Inpatient-Evidence-Repository and FINISHED SLIDE DECK/10_MedStaff_Dinner_June9/02_Podium_Card.md,/Users/jm/_Dedupe_Quarantine_2026-06-26/Clinical/Presentations:Meeting/MEDSTAFF DINNER/Family-Therapy-Inpatient-Evidence-Repository and FINISHED SLIDE DECK/10_MedStaff_Dinner_June9/02_Podium_Card.md,/Users/jm/Family-Therapy-Inpatient-Evidence-Repository/10_MedStaff_Dinner_June9/02_Podium_Card.md,b621e42ce4cb73d6bb8c503f171b4f005c7ed25119b682865af029093d5e3db0
/Users/jm/Clinical/BHU Annual Fund Brainstorm/Portfolio_FINAL_2026-04-30/03_Small_Requests/08_Pill_Organizer/02_SBAR.docx,/Users/jm/_Dedupe_Quarantine_2026-06-26/Clinical/BHU Annual Fund Brainstorm/Portfolio_FINAL_2026-04-30/03_Small_Requests/08_Pill_Organizer/02_SBAR.docx,/Users/jm/Clinical/BHU Annual Fund Brainstorm/Drafts_2026-04-30/SBAR_PillOrganizer_DRAFT.docx,9a579618af559d4e309732798a9966669d2555985625ddfda424f1497c2081ee
/Users/jm/Clinical/BHU Annual Fund Brainstorm/Portfolio_FINAL_2026-04-30/02_Large_Requests/02_Therapeutic_Meeting_Suite/02_SBAR.docx,/Users/jm/_Dedupe_Quarantine_2026-06-26/Clinical/BHU Annual Fund Brainstorm/Portfolio_FINAL_2026-04-30/02_Large_Requests/02_Therapeutic_Meeting_Suite/02_SBAR.docx,/Users/jm/Clinical/BHU Annual Fund Brainstorm/Drafts_2026-04-30/SBAR_MeetingSuite_DRAFT.docx,93924604b93a57d26933bff2ed95b8134194d8385779a1fd6e4507d9b9bdf57d
/Users/jm/Clinical/BHU Annual Fund Brainstorm/Portfolio_FINAL_2026-04-30/Review_Packet_for_Russell_and_Wright/02_Therapeutic_Meeting_Suite/02_SBAR.docx,/Users/jm/_Dedupe_Quarantine_2026-06-26/Clinical/BHU Annual Fund Brainstorm/Portfolio_FINAL_2026-04-30/Review_Packet_for_Russell_and_Wright/02_Therapeutic_Meeting_Suite/02_SBAR.docx,/Users/jm/Clinical/BHU Annual Fund Brainstorm/Drafts_2026-04-30/SBAR_MeetingSuite_DRAFT.docx,93924604b93a57d26933bff2ed95b8134194d8385779a1fd6e4507d9b9bdf57d
/Users/jm/Clinical/BHU Annual Fund Brainstorm/Portfolio_FINAL_2026-04-30/Review_Packet_for_Russell_and_Wright/Files_to_Attach_to_Email/SBAR_02_TherapeuticMeetingSuite.docx,/Users/jm/_Dedupe_Quarantine_2026-06-26/Clinical/BHU Annual Fund Brainstorm/Portfolio_FINAL_2026-04-30/Review_Packet_for_Russell_and_Wright/Files_to_Attach_to_Email/SBAR_02_TherapeuticMeetingSuite.docx,/Users/jm/Clinical/BHU Annual Fund Brainstorm/Drafts_2026-04-30/SBAR_MeetingSuite_DRAFT.docx,93924604b93a57d26933bff2ed95b8134194d8385779a1fd6e4507d9b9bdf57d
/Users/jm/Clinical/BHU Annual Fund Brainstorm/Portfolio_FINAL_2026-04-30/Review_Packet_for_Russell_and_Wright/Files_to_Attach_to_Email/SBAR_03_PsychoedLibraryAudio.docx,/Users/jm/_Dedupe_Quarantine_2026-06-26/Clinical/BHU Annual Fund Brainstorm/Portfolio_FINAL_2026-04-30/Review_Packet_for_Russell_and_Wright/Files_to_Attach_to_Email/SBAR_03_PsychoedLibraryAudio.docx,/Users/jm/Clinical/BHU Annual Fund Brainstorm/Portfolio_FINAL_2026-04-30/Review_Packet_for_Russell_and_Wright/03_Psychoed_Library_Audio/02_SBAR.docx,4425aa94aaa1f56d30c0ee0e1cfe841feff38b5fb1c8a448f91ecf6e59b08312
/Users/jm/Clinical/BHU Annual Fund Brainstorm/Portfolio_FINAL_2026-04-30/02_Large_Requests/04_Library_and_Audio/02_SBAR.docx,/Users/jm/_Dedupe_Quarantine_2026-06-26/Clinical/BHU Annual Fund Brainstorm/Portfolio_FINAL_2026-04-30/02_Large_Requests/04_Library_and_Audio/02_SBAR.docx,/Users/jm/Clinical/BHU Annual Fund Brainstorm/Drafts_2026-04-30/SBAR_LibraryAudio_DRAFT.docx,4ec1d4e9fca9bda3e90ea6ccd681b71c3248ad2b5835babdab0e61467e0a0ef4
/Users/jm/Clinical/BHU Annual Fund Brainstorm/Portfolio_FINAL_2026-04-30/02_Large_Requests/03_Telehealth_Only/02_SBAR.docx,/Users/jm/_Dedupe_Quarantine_2026-06-26/Clinical/BHU Annual Fund Brainstorm/Portfolio_FINAL_2026-04-30/02_Large_Requests/03_Telehealth_Only/02_SBAR.docx,/Users/jm/Clinical/BHU Annual Fund Brainstorm/Drafts_2026-04-30/SBAR_TelehealthOnly_DRAFT.docx,6f136573151614457852e5328ec48d997e88590341c12b80c35fb46e4f085967
/Users/jm/Clinical/Presentations:Meeting/MEDSTAFF DINNER/Family-Therapy-Inpatient-Evidence-Repository and FINISHED SLIDE DECK/07_NotebookLM_Source_Packets/02_Source_Compendium.md,/Users/jm/_Dedupe_Quarantine_2026-06-26/Clinical/Presentations:Meeting/MEDSTAFF DINNER/Family-Therapy-Inpatient-Evidence-Repository and FINISHED SLIDE DECK/07_NotebookLM_Source_Packets/02_Source_Compendium.md,/Users/jm/Family-Therapy-Inpatient-Evidence-Repository/07_NotebookLM_Source_Packets/02_Source_Compendium.md,f2921c49807d6834107d003a9ae00d46cb7933e705b99277d0f701ba3af148b9
/Users/jm/Clinical/BHU Annual Fund Brainstorm/Portfolio_FINAL_2026-04-30/01_Strategy_Documents/03_Addendum_MeetingSuite_Replaces_FamilyTelehealth.docx,/Users/jm/_Dedupe_Quarantine_2026-06-26/Clinical/BHU Annual Fund Brainstorm/Portfolio_FINAL_2026-04-30/01_Strategy_Documents/03_Addendum_MeetingSuite_Replaces_FamilyTelehealth.docx,/Users/jm/Clinical/BHU Annual Fund Brainstorm/Drafts_2026-04-30/Addendum_MeetingSuite_Replaces_FamilyTelehealth.docx,e5a6cc2d9d4a6f7f873476f130900555c3fecdaa38e854fc48be1d454bd1de25
/Users/jm/Clinical/BHU Annual Fund Brainstorm/Portfolio_FINAL_2026-04-30/02_Large_Requests/02_Therapeutic_Meeting_Suite/03_ItemizedList.docx,/Users/jm/_Dedupe_Quarantine_2026-06-26/Clinical/BHU Annual Fund Brainstorm/Portfolio_FINAL_2026-04-30/02_Large_Requests/02_Therapeutic_Meeting_Suite/03_ItemizedList.docx,/Users/jm/Clinical/BHU Annual Fund Brainstorm/Drafts_2026-04-30/ItemList_02_MeetingSuite.docx,53a2669a34cce35a203be25f29871ca9a2e09b02f11eaa0c7f773ea6c09d89b7
/Users/jm/Clinical/BHU Annual Fund Brainstorm/Portfolio_FINAL_2026-04-30/Review_Packet_for_Russell_and_Wright/02_Therapeutic_Meeting_Suite/03_ItemizedList.docx,/Users/jm/_Dedupe_Quarantine_2026-06-26/Clinical/BHU Annual Fund Brainstorm/Portfolio_FINAL_2026-04-30/Review_Packet_for_Russell_and_Wright/02_Therapeutic_Meeting_Suite/03_ItemizedList.docx,/Users/jm/Clinical/BHU Annual Fund Brainstorm/Drafts_2026-04-30/ItemList_02_MeetingSuite.docx,53a2669a34cce35a203be25f29871ca9a2e09b02f11eaa0c7f773ea6c09d89b7
/Users/jm/Clinical/BHU Annual Fund Brainstorm/Portfolio_FINAL_2026-04-30/Review_Packet_for_Russell_and_Wright/Files_to_Attach_to_Email/ItemizedList_02_TherapeuticMeetingSuite.docx,/Users/jm/_Dedupe_Quarantine_2026-06-26/Clinical/BHU Annual Fund Brainstorm/Portfolio_FINAL_2026-04-30/Review_Packet_for_Russell_and_Wright/Files_to_Attach_to_Email/ItemizedList_02_TherapeuticMeetingSuite.docx,/Users/jm/Clinical/BHU Annual Fund Brainstorm/Drafts_2026-04-30/ItemList_02_MeetingSuite.docx,53a2669a34cce35a203be25f29871ca9a2e09b02f11eaa0c7f773ea6c09d89b7
/Users/jm/Clinical/BHU Annual Fund Brainstorm/Portfolio_FINAL_2026-04-30/Review_Packet_for_Russell_and_Wright/Files_to_Attach_to_Email/ItemizedList_03_PsychoedLibraryAudio.docx,/Users/jm/_Dedupe_Quarantine_2026-06-26/Clinical/BHU Annual Fund Brainstorm/Portfolio_FINAL_2026-04-30/Review_Packet_for_Russell_and_Wright/Files_to_Attach_to_Email/ItemizedList_03_PsychoedLibraryAudio.docx,/Users/jm/Clinical/BHU Annual Fund Brainstorm/Portfolio_FINAL_2026-04-30/Review_Packet_for_Russell_and_Wright/03_Psychoed_Library_Audio/03_ItemizedList.docx,11ec91862ac638fb45ff9f0f1892412a9270103161cadc771a9be92fa4b72bdc
/Users/jm/Clinical/BHU Annual Fund Brainstorm/Portfolio_FINAL_2026-04-30/02_Large_Requests/03_Telehealth_Only/03_ItemizedList.docx,/Users/jm/_Dedupe_Quarantine_2026-06-26/Clinical/BHU Annual Fund Brainstorm/Portfolio_FINAL_2026-04-30/02_Large_Requests/03_Telehealth_Only/03_ItemizedList.docx,/Users/jm/Clinical/BHU Annual Fund Brainstorm/Drafts_2026-04-30/ItemList_03_TelehealthOnly.docx,cc8a68abd56e0008996c0029e62a29b5ee6602c7c0b913ff31a79c2d6f092f97
/Users/jm/Clinical/Presentations:Meeting/MEDSTAFF DINNER/Family-Therapy-Inpatient-Evidence-Repository and FINISHED SLIDE DECK/10_MedStaff_Dinner_June9/03_QA_Ambush_Pack.md,/Users/jm/_Dedupe_Quarantine_2026-06-26/Clinical/Presentations:Meeting/MEDSTAFF DINNER/Family-Therapy-Inpatient-Evidence-Repository and FINISHED SLIDE DECK/10_MedStaff_Dinner_June9/03_QA_Ambush_Pack.md,/Users/jm/Family-Therapy-Inpatient-Evidence-Repository/10_MedStaff_Dinner_June9/03_QA_Ambush_Pack.md,d90def8c39358867fc6ff42ef1ec57f140bdaa6feb51135f22b7cf583fea1522
/Users/jm/Clinical/Presentations:Meeting/Family-Therapy-Didactic-June16/Archived versions/Family-Therapy-Didactic-June16/Slides/Versions/03_Seminar_Slides.pptx,/Users/jm/_Dedupe_Quarantine_2026-06-26/Clinical/Presentations:Meeting/Family-Therapy-Didactic-June16/Archived versions/Family-Therapy-Didactic-June16/Slides/Versions/03_Seminar_Slides.pptx,/Users/jm/Clinical/Presentations:Meeting/Family-Therapy-Didactic-June16/Slides/Versions/03_Seminar_Slides.pptx,a2a0efa6bb1f509f08099ba467ff1ca8fb9840950dc9e57bdcea30ff82b73099
/Users/jm/Clinical/Presentations:Meeting/Family-Therapy-Didactic-June16/Archived versions/Family-Therapy-Didactic-June16/NotebookLM-Videos/03_Video_Source_The_Revolving_Door.md,/Users/jm/_Dedupe_Quarantine_2026-06-26/Clinical/Presentations:Meeting/Family-Therapy-Didactic-June16/Archived versions/Family-Therapy-Didactic-June16/NotebookLM-Videos/03_Video_Source_The_Revolving_Door.md,/Users/jm/Clinical/Presentations:Meeting/Family-Therapy-Didactic-June16/NotebookLM-Videos/03_Video_Source_The_Revolving_Door.md,f7db8b4ad498f81eee050575105ae0dd1a90ae21a209660ffd482483a7a69bb2
/Users/jm/Clinical/Presentations:Meeting/Family-Therapy-Didactic-June16/Archived versions/Family-Therapy-Didactic-June16/04_Reply_to_Mary_PreReading.md,/Users/jm/_Dedupe_Quarantine_2026-06-26/Clinical/Presentations:Meeting/Family-Therapy-Didactic-June16/Archived versions/Family-Therapy-Didactic-June16/04_Reply_to_Mary_PreReading.md,/Users/jm/Clinical/Presentations:Meeting/Family-Therapy-Didactic-June16/04_Reply_to_Mary_PreReading.md,baf10d91620fe1de5c57d32bd2bed0b2b94a3001ffe095c8ae0c58781572d534
/Users/jm/Clinical/Presentations:Meeting/MEDSTAFF DINNER/Family-Therapy-Inpatient-Evidence-Repository and FINISHED SLIDE DECK/10_MedStaff_Dinner_June9/04_Run_of_Show_Checklist.md,/Users/jm/_Dedupe_Quarantine_2026-06-26/Clinical/Presentations:Meeting/MEDSTAFF DINNER/Family-Therapy-Inpatient-Evidence-Repository and FINISHED SLIDE DECK/10_MedStaff_Dinner_June9/04_Run_of_Show_Checklist.md,/Users/jm/Family-Therapy-Inpatient-Evidence-Repository/10_MedStaff_Dinner_June9/04_Run_of_Show_Checklist.md,aca6853e549b2b56eba20bd8adaab763a02f10b48ef89e71a0601151bba3c541
/Users/jm/Clinical/Presentations:Meeting/Family-Therapy-Didactic-June16/Archived versions/Family-Therapy-Didactic-June16/NotebookLM-Videos/04_Video_Source_First_Break_Whole_Family.md,/Users/jm/_Dedupe_Quarantine_2026-06-26/Clinical/Presentations:Meeting/Family-Therapy-Didactic-June16/Archived versions/Family-Therapy-Didactic-June16/NotebookLM-Videos/04_Video_Source_First_Break_Whole_Family.md,/Users/jm/Clinical/Presentations:Meeting/Family-Therapy-Didactic-June16/NotebookLM-Videos/04_Video_Source_First_Break_Whole_Family.md,c78032e85f8d795754aa601e29486cad9f56d568a27c339a4016ab3169445802
/Users/jm/Clinical/Presentations:Meeting/MEDSTAFF DINNER/Family-Therapy-Inpatient-Evidence-Repository and FINISHED SLIDE DECK/10_MedStaff_Dinner_June9/05_Deck_BHU2MODEL_WITH_VIDEO_EMAIL_v2.pptx,/Users/jm/_Dedupe_Quarantine_2026-06-26/Clinical/Presentations:Meeting/MEDSTAFF DINNER/Family-Therapy-Inpatient-Evidence-Repository and FINISHED SLIDE DECK/10_MedStaff_Dinner_June9/05_Deck_BHU2MODEL_WITH_VIDEO_EMAIL_v2.pptx,/Users/jm/Family-Therapy-Inpatient-Evidence-Repository/10_MedStaff_Dinner_June9/05_Deck_BHU2MODEL_WITH_VIDEO_EMAIL_v2.pptx,99e96051211c359279beb682ac52bc2dd027709950c3ba4c54cb82ead25a2e84
/Users/jm/Clinical/Presentations:Meeting/MEDSTAFF DINNER/Family-Therapy-Inpatient-Evidence-Repository and FINISHED SLIDE DECK/10_MedStaff_Dinner_June9/05_Deck_BHU2MODEL_WITH_VIDEO_EMAIL_v3.pptx,/Users/jm/_Dedupe_Quarantine_2026-06-26/Clinical/Presentations:Meeting/MEDSTAFF DINNER/Family-Therapy-Inpatient-Evidence-Repository and FINISHED SLIDE DECK/10_MedStaff_Dinner_June9/05_Deck_BHU2MODEL_WITH_VIDEO_EMAIL_v3.pptx,/Users/jm/Family-Therapy-Inpatient-Evidence-Repository/10_MedStaff_Dinner_June9/05_Deck_BHU2MODEL_WITH_VIDEO_EMAIL_v3.pptx,be863bd002b5d05322e8018e1da673b32ec06209b5377e6d1f56544ceb65b5f4
