id,status,category,type,difficulty,high_yield,competency,source_pages,stem,options,answer_key,answer_text,why,pearl,evidence
qb_cog_002,attested,neurocog,sba,2,False,next-step;safety,catatonia.md,"A 44-year-old woman with a history of bipolar disorder is found mute and immobile in her room, staring past the examiner. When the examiner positions her arm in an awkward posture, it remains in place for over a minute. A colleague suggests starting haloperidol for presumed psychosis. Best next step?",A. Evaluate for catatonia using a structured rating instrument before initiating any antipsychotic | B. Start haloperidol immediately — mutism and posturing indicate untreated psychosis | C. Apply a physical hold for safety while awaiting psychiatric evaluation | D. Order a urine drug screen and defer further evaluation to the morning team,A,Evaluate for catatonia using a structured rating instrument before initiating any antipsychotic,Psychosis = schizophrenia drives the dangerous action: haloperidol in an unexcluded catatonia can precipitate NMS. Waxy flexibility (sustained posturing) is a catatonic sign — catatonia must be rated before any dopamine blocker is started. Restraint first violates least-restrictive principle; Quiet patient = stable patient defers an urgent evaluation.,Avoid antipsychotics until catatonia is excluded — they can precipitate or worsen NMS and malignant catatonia; the lorazepam challenge is both diagnostic and therapeutic.,catatonia.md 'Management principles' — avoid antipsychotics until catatonia is excluded — they can precipitate or worsen NMS and malignant catatonia. A positive lorazepam challenge both supports the diagnosis and begins treatment.
qb_pha_001,attested,pharm,two-tier,2,True,pharm;safety,psychopharm_primer.md,"A 23-year-old man with a history of depression on high-dose sertraline is brought to the emergency department 3 hours after a second serotonergic medication was added to his regimen. Examination shows agitation, diarrhea, diaphoresis, and clonus; reflexes are brisk and symmetrically hyperactive throughout. Temperature is 38.3°C. Which of the following best explains this presentation?","A. Neuroleptic malignant syndrome — high-dose SSRIs can block dopamine receptors | B. Anticholinergic toxidrome — sertraline has strong anticholinergic activity | C. Alcohol withdrawal — autonomic instability and agitation are hallmarks | D. Serotonin syndrome — rapid onset after a second serotonergic agent was added, with hyperreflexia, clonus, and autonomic instability",D,"Serotonin syndrome — rapid onset after a second serotonergic agent was added, with hyperreflexia, clonus, and autonomic instability","Wrong toxidrome is the common trap in two directions: NMS (requires a dopamine blocker, slower, lead-pipe rigid) and anticholinergic (dry skin, urinary retention, no clonus). It's just withdrawal misreads autonomic instability without the serotonin-specific signs. Serotonin syndrome is the answer: rapid onset after serotonergic augmentation, clonus, hyperreflexia, and autonomic instability are its distinguishing features.","Serotonin syndrome: rapid onset, clonus, hyperreflexia after a serotonergic agent was added. NMS: lead-pipe rigidity, elevated CK, on a dopamine blocker — slower and stiffer.","psychopharm_primer.md — Serotonin syndrome: clonus, hyperreflexia, and autonomic instability with rapid onset, usually after a serotonergic agent was started or increased. Neuroleptic malignant syndrome: 'lead-pipe' rigidity, hyperthermia, and elevated CK in someone on a dopamine blocker — slower and stiffer than serotonin syndrome."
qb_pha_002,attested,pharm,sba,1,False,pharm;management,psychopharm_primer.md,A 34-year-old man with treatment-resistant schizophrenia has just been started on clozapine. He reports feeling better than he has in years. The treatment team asks the student to identify the most critical ongoing monitoring parameter for this medication. Which of the following is correct?,A. Monthly liver function tests — clozapine is heavily metabolized by the liver and hepatotoxicity is the primary dose-limiting toxicity | B. Absolute neutrophil count monitoring per prescribing requirements — clozapine carries a risk of agranulocytosis | C. Serum clozapine levels at every visit — toxicity is reliably predicted by drug concentration | D. Monthly QTc interval on ECG — clozapine's primary dose-limiting toxicity is cardiac arrhythmia,B,Absolute neutrophil count monitoring per prescribing requirements — clozapine carries a risk of agranulocytosis,Wrong monitoring target in two forms — LFTs and QTc — and Treat the number not the patient (serum levels without ANC) are the traps. Clozapine's mandated monitoring is the absolute neutrophil count due to the risk of potentially fatal agranulocytosis. Serum levels and LFTs may be checked but do not constitute the primary safety obligation.,"Clozapine requires mandatory ANC monitoring for agranulocytosis; also watch for myocarditis, severe constipation/ileus, and seizures.","psychopharm_primer.md — Clozapine for treatment-resistant schizophrenia: ANC monitoring per prescribing information; also watch for myocarditis, severe constipation/ileus, and seizures."
qb_saf_001,attested,safety,sba,2,True,safety,pg_suicide.md,"A 19-year-old man is admitted after a near-lethal suicide attempt. He has expressed persistent hopelessness and a stated wish to die for three days. On hospital day 4, nurses report he seems 'much better' — calm, well-rested, and telling the team he is ready to go home. His affect is bright and he is chatty with staff. No clinical change or social development explains the shift. Best next step?",A. Begin discharge planning — improvement is the goal of admission and this patient has achieved it | B. Reduce his observation level and move him to a lower-acuity room to reinforce the progress | C. Escalate to the attending immediately — unexplained sudden improvement after severe suicidality is a warning sign requiring reassessment | D. Update the safety plan and schedule discharge within 24 hours while the patient is engaged,C,Escalate to the attending immediately — unexplained sudden improvement after severe suicidality is a warning sign requiring reassessment,Sudden improvement = recovery is the most dangerous trap: the pocket card explicitly lists unexplained sudden improvement as an immediate escalation trigger. Quiet patient = stable patient reduces vigilance at exactly the wrong moment. Safety plan = discharge permission slip conflates a tool with a risk decision.,"Sudden unexplained improvement after severe suicidality is an escalation trigger, not evidence of recovery.",pg_suicide.md 'What to escalate immediately' — Sudden improvement after severe suicidality without clear explanation.
qb_saf_002,attested,safety,relational,2,False,safety;psychosocial,agitation.md,"A patient is pacing the hallway, speaking loudly, and waving his hands. He has not threatened anyone and is not in immediate danger of harming himself or others. You are the student. Which response is best?","A. Let a nearby staff member know you are engaging, then approach calmly — without blocking his exit or yours — introduce yourself, acknowledge that he looks upset, and offer him a choice — 'Would it help to step somewhere quieter where staff can still see us, or is there something I can get you?' | B. Return to the nursing station and request a PRN intramuscular medication order before approaching | C. Call for additional staff and prepare for restraint in case the patient escalates | D. Instruct him firmly to return to his room or staff will have to intervene",A,"Let a nearby staff member know you are engaging, then approach calmly — without blocking his exit or yours — introduce yourself, acknowledge that he looks upset, and offer him a choice — 'Would it help to step somewhere quieter where staff can still see us, or is there something I can get you?'","Agitation = antipsychotic, Restraint first, and Commands over choices are the three forms of the same error: defaulting to force or medication before de-escalation. The Project BETA framework begins with calm presence, acknowledgment of distress, and genuine choices — not commands or preemptive escalation.","Verbal de-escalation — calm presence, acknowledgment, and genuine choices — is the default first response to agitation, not a courtesy step before medication; tell a staff member before you engage, and stay near your exit without blocking the patient's.","agitation.md 'Verbal de-escalation, first' — This is the default response, not a courtesy step. The Project BETA de-escalation framework (Richmond et al. 2012) centers respect, simple boundaries, listening, and offering choices rather than issuing commands."
qb_per_001,attested,personality,sba,1,False,dx;psychosocial,t_personality.md,A 26-year-old woman with borderline personality disorder tells her student doctor that she trusts only her and that the other staff 'just don't care.' Night nurses describe her as cooperative and warm; day nurses report she screams at them. How is this pattern best understood?,"A. The patient has genuine rapport with the student and a legitimate complaint about day staff behavior | B. Splitting — a feature of BPD in which people are experienced as entirely good or bad, requiring team consistency as the antidote | C. Deliberate manipulation — the patient is consciously exploiting the split to get preferential treatment | D. A delusional belief about staff intentions that warrants diagnostic reassessment for a psychotic disorder",B,"Splitting — a feature of BPD in which people are experienced as entirely good or bad, requiring team consistency as the antidote","Face-value reassurance takes the report at face value and misses the clinical process. Manipulation framing leads to punitive responses that worsen therapeutic alliance. Psychosis = schizophrenia misapplies a diagnostic frame to a personality-disorder phenomenon. Splitting — all-good or all-bad experiencing of staff — is a feature of BPD; the intervention is team communication and consistency, not confrontation.","Splitting is a feature of BPD, not a character flaw — team consistency and shared notes are the antidote, not confrontation.","t_personality.md — Splitting — experiencing staff as all-good or all-bad — is common and is a feature of the illness, not a character flaw or manipulation."
qb_per_002,attested,personality,sba,3,False,management;safety,t_personality.md,A 22-year-old woman with borderline personality disorder is admitted in crisis with severe anxiety and sleep disturbance. She has been engaged in DBT for six months with good skill use documented. She is asking for 'something for her nerves.' The pharmacologic approach most consistent with evidence-based practice for BPD is which of the following?,"A. Prescribe lorazepam PRN — addressing the anxiety will help her engage with skills | B. Add a nightly benzodiazepine for sleep — insomnia is fueling the crisis cycle | C. Add an SSRI — anxiety in a BPD patient with good DBT engagement suggests an undertreated mood component requiring pharmacological augmentation. | D. Minimize pharmacotherapy — if needed, a single low-risk agent for ≤1 week, preferring a sedating antihistamine or low-dose quetiapine over a benzodiazepine.",D,"Minimize pharmacotherapy — if needed, a single low-risk agent for ≤1 week, preferring a sedating antihistamine or low-dose quetiapine over a benzodiazepine.","The reflexive benzodiazepine in two forms (PRN and scheduled) and Polypharmacy first are the traps. No medication treats BPD itself; the evidence base supports skills over pills, and benzodiazepines in BPD carry the highest risk of attempted or completed suicide of any psychotropic class studied (HR 1.61, Lieslehto 2023). The NICE-aligned approach is a single, low-risk agent at the minimum dose for ≤1 week — sedating antihistamine or low-dose quetiapine preferred over benzodiazepines.","Benzodiazepines in BPD carry the highest risk of attempted or completed suicide of any class studied — reach for skills, not pills.","t_personality.md — do not start or escalate benzodiazepines — they carry the highest risk of attempted or completed suicide of any psychotropic class studied in BPD (HR 1.61, Lieslehto 2023) and worsen disinhibition. If a crisis genuinely needs pharmacology, follow the NICE rule: a single agent at the minimum effective dose for ≤1 week (prefer a sedating antihistamine or low-dose quetiapine over benzodiazepines and TCAs)."
qb_chd_001,attested,childdev,sba,2,False,dx,t_neurodev.md,"A 19-year-old college student is brought to the inpatient unit by his parents after three weeks of dramatically decreased need for sleep (sleeping two to three hours and feeling rested), expansive and grandiose mood, pressured speech, and impulsive spending. His parents note he has always been 'a little hyper' in school but never like this. He takes no medications and denies substance use. Most likely diagnosis?","A. Bipolar disorder, manic episode — the episodic 3-week course with decreased need for sleep and grandiosity distinguishes this from ADHD | B. ADHD, first recognized in adulthood — the impulsivity and hyperactivity confirm childhood-onset ADHD now decompensated | C. Brief psychotic disorder — the grandiosity indicates loss of reality testing | D. Adjustment disorder — the academic stress of college explains the sleep changes and mood elevation",A,"Bipolar disorder, manic episode — the episodic 3-week course with decreased need for sleep and grandiosity distinguishes this from ADHD","ADHD vs mania is the key discrimination: ADHD is chronic and cross-situational from childhood, not episodic with decreased need for sleep and grandiosity. Psychosis = schizophrenia misreads a mood symptom as a primary psychotic feature. Adjustment by default collapses a manic episode into a stress reaction.",ADHD is chronic and cross-situational from childhood; mania is episodic — episodic ADHD-like symptoms are a mood or substance flag.,"t_neurodev.md — ADHD vs bipolar mania: ADHD is chronic, pervasive, and cross-situational from childhood; mania is episodic with mood elevation, decreased need for sleep, and grandiosity. Episodic 'ADHD-like' symptoms are a mood or substance flag."
qb_chd_002,attested,childdev,sba,1,False,management,t_neurodev.md,"An autistic adult admitted after aggression at his group home is increasingly distressed on the inpatient unit — covering his ears, rocking, and repeatedly asking when it will be quiet. He is not in imminent danger. No PRN medication has been given. The most appropriate first step is which of the following?",A. Administer a PRN antipsychotic — irritability and agitation in autism respond to targeted medication | B. Engage him in a group activity to normalize the milieu and reduce his isolation | C. Move him to a quieter space and establish a predictable routine to reduce sensory load | D. Assign a staff member to redirect him verbally and prompt use of calming strategies,C,Move him to a quieter space and establish a predictable routine to reduce sensory load,"Agitation = antipsychotic skips the evidence-based first step. Group = stimulation adds sensory load when reduction is the goal. Verbal prompting first increases auditory demand on an already overloaded sensory system. The environment-first approach — quiet space, predictable routine, reduced sensory input — is the foundational intervention in ASD on the inpatient unit.","In ASD, lead with the environment — predictability, reduced sensory load, and concrete communication — before reaching for medication.","t_neurodev.md — Lead with the environment and communication, not medication. Provide predictability (routine, visual schedules, consistent staff), reduce sensory load, allow extra processing time, use concrete language."
qb_oth_001,attested,otherdx,sba,2,True,safety;next-step,t_eating.md,"A 16-year-old with severe anorexia nervosa has been restrictive for 4 months and is medically admitted with critically low weight. Before nutritional rehabilitation begins, which approach most directly reduces the risk of refeeding syndrome?","A. Start full nutritional rehabilitation immediately at a standard adult caloric target to restore weight as rapidly as possible. | B. Give prophylactic anxiolytics and monitor for 24 hours before introducing nutrition — anxiety increases metabolic demand in malnourished patients. | C. Correct all electrolyte abnormalities to normal before introducing any nutrition — electrolyte imbalances worsen if nutrition begins before they are stable. | D. Start caloric refeeding at a conservative initial target and advance slowly; administer thiamine before or with carbohydrate and check phosphate, potassium, and magnesium at least daily early in refeeding.",D,"Start caloric refeeding at a conservative initial target and advance slowly; administer thiamine before or with carbohydrate and check phosphate, potassium, and magnesium at least daily early in refeeding.","Faster is safer, Sedation before nutrition, and Normalize first all create delay or metabolic risk. The source's 'start low, go slow' principle is the safety framework: conservative start, daily electrolyte checks, and thiamine before carbohydrate to prevent Wernicke encephalopathy.","Refeeding syndrome prevention: start low, go slow, give thiamine before carbohydrate, check phosphate daily.","t_eating.md — Refeeding syndrome: the safe posture is 'start low, go slow': begin conservative caloric refeeding, check phosphate/potassium/magnesium at least daily early, supplement phosphate and give thiamine before or with carbohydrate, and advance calories per protocol as electrolytes stay stable."
