category,source_page,source_title,link_text,url,final_url,content_type,filename,path,bytes,sha256
Spanish patient and family education,https://www.psychiatry.org/patients-families/la-salud-mental/conexiones-entre-el-cambio-climatico-y-la-salud-me/folleto,Psychiatry.org - Folleto,Descargar el Folleto,https://www.psychiatry.org/getmedia/bdf48b72-c5d9-49fd-9dee-36c5c2879d2a/8-1-24-Climate-ES-Handout.pdf,https://www.psychiatry.org/getmedia/bdf48b72-c5d9-49fd-9dee-36c5c2879d2a/8-1-24-Climate-ES-Handout.pdf,application/pdf,f11f9f2c05_8-1-24-Climate-ES-Handout.pdf,/Users/jm/Psychiatry-Clerkship-Library/13_Faculty_Resources/APA_Downloads_2026-06-29/files/f11f9f2c05_8-1-24-Climate-ES-Handout.pdf,169947,f11f9f2c052e4326bf0e8827e4dcf1143c128c94ee82dfbc2e933d34fcd8ce37
Spanish patient and family education,https://www.psychiatry.org/patients-families/la-salud-mental/%C2%BFque-es-el-dsm,Psychiatry.org - ¿Qué es el DSM?,Política de divulgación de afiliaciones e intereses.,https://www.psychiatry.org/getmedia/bc83f63f-48b6-45cb-83db-bb71c4845808/APA-Disclosure-of-Affiliations-and-Interests-Policy.pdf,https://www.psychiatry.org/getmedia/bc83f63f-48b6-45cb-83db-bb71c4845808/APA-Disclosure-of-Affiliations-and-Interests-Policy.pdf,application/pdf,3b2ed2c1c1_APA-Disclosure-of-Affiliations-and-Interests-Policy.pdf,/Users/jm/Psychiatry-Clerkship-Library/13_Faculty_Resources/APA_Downloads_2026-06-29/files/3b2ed2c1c1_APA-Disclosure-of-Affiliations-and-Interests-Policy.pdf,154607,3b2ed2c1c1ded252c997fcca0f2b78b3546a84883f61aadacecdb9869bc68149
Spanish patient and family education,https://www.psychiatry.org/patients-families/la-salud-mental/cigarrillos-electronicos-y-vapeo,Psychiatry.org - Cigarrillos electrónicos y vapeo,Descargar folleto de vapeo,https://www.psychiatry.org/getmedia/2381cdc8-2aa2-416b-809d-a4454c20fc7e/6-3-24-Vaping-Handout-Spanish.pdf,https://www.psychiatry.org/getmedia/2381cdc8-2aa2-416b-809d-a4454c20fc7e/6-3-24-Vaping-Handout-Spanish.pdf,application/pdf,a341fa6431_6-3-24-Vaping-Handout-Spanish.pdf,/Users/jm/Psychiatry-Clerkship-Library/13_Faculty_Resources/APA_Downloads_2026-06-29/files/a341fa6431_6-3-24-Vaping-Handout-Spanish.pdf,357372,a341fa643119f6262a3da90f436e001e214681371136e8ce00fbe6c453feecbc
Spanish patient and family education,https://www.psychiatry.org/patients-families/la-salud-mental/adiccion-a-la-tecnologia-redes-sociales-juegos-en,"Psychiatry.org - Adicción a la tecnología: redes sociales, juegos en línea, y más",Descargar folleto de adicción a la tecnología,https://www.psychiatry.org/getmedia/30383742-7a3a-48d0-aabd-0809ea74f494/6-3-24-Technology-Handout-Spanish.pdf,https://www.psychiatry.org/getmedia/30383742-7a3a-48d0-aabd-0809ea74f494/6-3-24-Technology-Handout-Spanish.pdf,application/pdf,72f559b399_6-3-24-Technology-Handout-Spanish.pdf,/Users/jm/Psychiatry-Clerkship-Library/13_Faculty_Resources/APA_Downloads_2026-06-29/files/72f559b399_6-3-24-Technology-Handout-Spanish.pdf,87207,72f559b399568d0ca55b6abd5409b4724fd26cbfea7b09b3cfe863c5e4beb4b7
Perinatal mental health,https://www.psychiatry.org/patients-families/la-salud-mental/folletos,Psychiatry.org - Herramientas digitales para promover la salud mental de los latinos,Descarga aquí,https://www.psychiatry.org/getmedia/8253e0fc-9814-4a04-8973-cc96001d43a3/perinatal-folleto.pdf,https://www.psychiatry.org/getmedia/8253e0fc-9814-4a04-8973-cc96001d43a3/perinatal-folleto.pdf,application/pdf,9b9605f350_perinatal-folleto.pdf,/Users/jm/Psychiatry-Clerkship-Library/13_Faculty_Resources/APA_Downloads_2026-06-29/files/9b9605f350_perinatal-folleto.pdf,201126,9b9605f35013125af5688239e834ed25f09cfd57326f060fb2f90df24d0e237a
Spanish patient and family education,https://www.psychiatry.org/patients-families/la-salud-mental/estigma/folleto,Psychiatry.org - Folleto,Descargar el Folleto,https://www.psychiatry.org/getmedia/0f149189-8131-49ce-a165-d07017acc1b0/estigma-folleto.pdf,https://www.psychiatry.org/getmedia/0f149189-8131-49ce-a165-d07017acc1b0/estigma-folleto.pdf,application/pdf,8ce6992093_estigma-folleto.pdf,/Users/jm/Psychiatry-Clerkship-Library/13_Faculty_Resources/APA_Downloads_2026-06-29/files/8ce6992093_estigma-folleto.pdf,170153,8ce699209373797aa222c48d8b9f6f148951c2a76d56c322bfc9ae62af4a9e93
Spanish patient and family education,https://www.psychiatry.org/patients-families/la-salud-mental/hoja-informativa-poblacion-hispana-y-salud-mental,Psychiatry.org - Hoja informativa: Población hispana y salud mental,Download PDF,https://www.psychiatry.org/getmedia/816593d9-1d0d-4a7b-ae81-3f64153f290e/3-20-26-Hispanic-Population-MH-Handout.pdf,https://www.psychiatry.org/getmedia/816593d9-1d0d-4a7b-ae81-3f64153f290e/3-20-26-Hispanic-Population-MH-Handout.pdf,application/pdf,4e21439e5d_3-20-26-Hispanic-Population-MH-Handout.pdf,/Users/jm/Psychiatry-Clerkship-Library/13_Faculty_Resources/APA_Downloads_2026-06-29/files/4e21439e5d_3-20-26-Hispanic-Population-MH-Handout.pdf,66067,4e21439e5d3b59f954f94956a0b1620912368fad3444054bf1dbdcf29bc753b3
Spanish patient and family education,https://www.psychiatry.org/patients-families/la-salud-mental/folletos,Psychiatry.org - Herramientas digitales para promover la salud mental de los latinos,Download PDF,https://www.psychiatry.org/getmedia/61bd0803-e933-4c23-b5a8-06d303321229/6-10-25-LasSaludMental-General-Flyers-English.pdf,https://www.psychiatry.org/getmedia/61bd0803-e933-4c23-b5a8-06d303321229/6-10-25-LasSaludMental-General-Flyers-English.pdf,application/pdf,8df60360cf_6-10-25-LasSaludMental-General-Flyers-English.pdf,/Users/jm/Psychiatry-Clerkship-Library/13_Faculty_Resources/APA_Downloads_2026-06-29/files/8df60360cf_6-10-25-LasSaludMental-General-Flyers-English.pdf,1186492,8df60360cff7a68061fa7ddfe7f341938a0dc359c441ed4e1713d7291b9ecbc9
Spanish patient and family education,https://www.psychiatry.org/patients-families/la-salud-mental/trastorno-de-estres-postraumatico-tept/folleto,Psychiatry.org - Folleto,Descargar el Folleto,https://www.psychiatry.org/getmedia/7181c7fd-9fa7-4461-a5de-bcdda6326676/tept-folleto.pdf,https://www.psychiatry.org/getmedia/7181c7fd-9fa7-4461-a5de-bcdda6326676/tept-folleto.pdf,application/pdf,cec4dd403d_tept-folleto.pdf,/Users/jm/Psychiatry-Clerkship-Library/13_Faculty_Resources/APA_Downloads_2026-06-29/files/cec4dd403d_tept-folleto.pdf,82747,cec4dd403d8da68457ee53698e07c70805977de5db06797f44fa8e8e66d97a92
Spanish patient and family education,https://www.psychiatry.org/patients-families/la-salud-mental/suicidio-y-autolesion/folleto,Psychiatry.org - Folleto,Descargar el Folleto,https://www.psychiatry.org/getmedia/213d7658-072a-479c-ba68-fabb724cdf6c/suicidio-folleto.pdf,https://www.psychiatry.org/getmedia/213d7658-072a-479c-ba68-fabb724cdf6c/suicidio-folleto.pdf,application/pdf,eff17337c8_suicidio-folleto.pdf,/Users/jm/Psychiatry-Clerkship-Library/13_Faculty_Resources/APA_Downloads_2026-06-29/files/eff17337c8_suicidio-folleto.pdf,89571,eff17337c812d9b2fe5ebecae1b5198750e3a0ed84c211f31b19d4b93edc04e0
Spanish patient and family education,https://www.psychiatry.org/patients-families/la-salud-mental/trastorno-por-consumo-de-sustancias,Psychiatry.org - Trastorno por consumo de sustancias,Aprende más,https://www.psychiatry.org/getmedia/b70b1798-78d9-41e3-ab05-8e21b4fc3a05/Addiction-Top10-Spanish-everyone.pdf,https://www.psychiatry.org/getmedia/b70b1798-78d9-41e3-ab05-8e21b4fc3a05/Addiction-Top10-Spanish-everyone.pdf,application/pdf,1fc808b151_Addiction-Top10-Spanish-everyone.pdf,/Users/jm/Psychiatry-Clerkship-Library/13_Faculty_Resources/APA_Downloads_2026-06-29/files/1fc808b151_Addiction-Top10-Spanish-everyone.pdf,180115,1fc808b151f102209caaad80367f06412127b455a4cdfa67a078a42554f67222
Spanish patient and family education,https://www.psychiatry.org/patients-families/la-salud-mental/folletos,Psychiatry.org - Herramientas digitales para promover la salud mental de los latinos,Descarga PDF,https://www.psychiatry.org/getmedia/0de450d3-ab29-4f2c-9a01-818aa7f6de6d/4-28-25-LasSaludMental-General-Flyers-Update3.pdf,https://www.psychiatry.org/getmedia/0de450d3-ab29-4f2c-9a01-818aa7f6de6d/4-28-25-LasSaludMental-General-Flyers-Update3.pdf,application/pdf,c23977e2cc_4-28-25-LasSaludMental-General-Flyers-Update3.pdf,/Users/jm/Psychiatry-Clerkship-Library/13_Faculty_Resources/APA_Downloads_2026-06-29/files/c23977e2cc_4-28-25-LasSaludMental-General-Flyers-Update3.pdf,1186149,c23977e2cc09ded67f92ef9a840d211e1f0cb42c733fa1e61b3b463ceb0a8af0
Spanish patient and family education,https://www.psychiatry.org/patients-families/la-salud-mental/trastorno-por-consumo-de-opioides-1,Psychiatry.org - Trastorno por consumo de opioides,Descargar folleto de opioides,https://www.psychiatry.org/getmedia/148ea81a-5546-41b7-99d0-d74e259d9d66/6-3-24-Opioids-Handout-Spanish.pdf,https://www.psychiatry.org/getmedia/148ea81a-5546-41b7-99d0-d74e259d9d66/6-3-24-Opioids-Handout-Spanish.pdf,application/pdf,4808dd0791_6-3-24-Opioids-Handout-Spanish.pdf,/Users/jm/Psychiatry-Clerkship-Library/13_Faculty_Resources/APA_Downloads_2026-06-29/files/4808dd0791_6-3-24-Opioids-Handout-Spanish.pdf,146185,4808dd0791d8aeabf8d8197b799680c26a91e4e4ff8091ba94e86953c8523418
Spanish patient and family education,https://www.psychiatry.org/patients-families/la-salud-mental/trastorno-por-deficit-de-atencion-con-hiperactivid/folleto,Psychiatry.org - Folleto,Descargar el Folleto,https://www.psychiatry.org/getmedia/fc6c1496-c8f4-4f63-a44a-c23e8c6b6066/tdah-folleto.pdf,https://www.psychiatry.org/getmedia/fc6c1496-c8f4-4f63-a44a-c23e8c6b6066/tdah-folleto.pdf,application/pdf,1fdf4eae1c_tdah-folleto.pdf,/Users/jm/Psychiatry-Clerkship-Library/13_Faculty_Resources/APA_Downloads_2026-06-29/files/1fdf4eae1c_tdah-folleto.pdf,81361,1fdf4eae1c9b7bbe4d585c6129b4b3003ba0d06870fe6713295f815df58a4365
Spanish patient and family education,https://www.psychiatry.org/patients-families/la-salud-mental/folletos,Psychiatry.org - Herramientas digitales para promover la salud mental de los latinos,Descarga PDF aqui,https://www.psychiatry.org/getmedia/4d6d1a9f-cea9-40dd-9148-99fe41afb778/11-8-24-LaSaludMental-poster-SUD,https://www.psychiatry.org/getmedia/4d6d1a9f-cea9-40dd-9148-99fe41afb778/11-8-24-LaSaludMental-poster-SUD,application/pdf,7b104d2b3b_11-8-24-LaSaludMental-poster-SUD.pdf,/Users/jm/Psychiatry-Clerkship-Library/13_Faculty_Resources/APA_Downloads_2026-06-29/files/7b104d2b3b_11-8-24-LaSaludMental-poster-SUD.pdf,2621456,7b104d2b3b7ce1c959daaa4f2a2167d21ee912b13ccca5feda92132651f6eb60
Spanish patient and family education,https://www.psychiatry.org/patients-families/la-salud-mental/trastorno-por-consumo-de-alcohol,Psychiatry.org - Trastorno por consumo de alcohol,Descargar folleto de trastorno por consumo alcohol,https://www.psychiatry.org/getmedia/e21eba04-5fea-4d43-b78f-ebb25a9be1ee/6-3-24-Alcohol-Handout-Spanish.pdf,https://www.psychiatry.org/getmedia/e21eba04-5fea-4d43-b78f-ebb25a9be1ee/6-3-24-Alcohol-Handout-Spanish.pdf,application/pdf,45efb327c7_6-3-24-Alcohol-Handout-Spanish.pdf,/Users/jm/Psychiatry-Clerkship-Library/13_Faculty_Resources/APA_Downloads_2026-06-29/files/45efb327c7_6-3-24-Alcohol-Handout-Spanish.pdf,96260,45efb327c72edd10f456dba5d9dfbeb2f3aa79363dd2f4650b39c729f05cb874
Spanish patient and family education,https://www.psychiatry.org/patients-families/la-salud-mental/folletos,Psychiatry.org - Herramientas digitales para promover la salud mental de los latinos,Descarga PDF aqui,https://www.psychiatry.org/getmedia/2777c174-1993-466f-8763-4602c758aa4e/11-13-24-LaSaludMental-poster-Depression.pdf,https://www.psychiatry.org/getmedia/2777c174-1993-466f-8763-4602c758aa4e/11-13-24-LaSaludMental-poster-Depression.pdf,application/pdf,0e1862d10b_11-13-24-LaSaludMental-poster-Depression.pdf,/Users/jm/Psychiatry-Clerkship-Library/13_Faculty_Resources/APA_Downloads_2026-06-29/files/0e1862d10b_11-13-24-LaSaludMental-poster-Depression.pdf,4261265,0e1862d10b73e70f650f88abe059ee97750e4545d3b17681ee47747c89c25782
Perinatal mental health,https://www.psychiatry.org/patients-families/peripartum-depression,Psychiatry.org - Perinatal Depression (formerly Postpartum),Pregnant Persons with Mental Health and Substance Use Conditions (.pdf),https://www.psychiatry.org/getmedia/6d13c289-403d-4d6d-bff4-c5e946768bbc/APA-CDC-Facts-Pregnant-Persons-Mental-Health-Substance-Use-Conditions.pdf,https://www.psychiatry.org/getmedia/6d13c289-403d-4d6d-bff4-c5e946768bbc/APA-CDC-Facts-Pregnant-Persons-Mental-Health-Substance-Use-Conditions.pdf,application/pdf,a81abdc783_APA-CDC-Facts-Pregnant-Persons-Mental-Health-Substance-Use-Conditions.pdf,/Users/jm/Psychiatry-Clerkship-Library/13_Faculty_Resources/APA_Downloads_2026-06-29/files/a81abdc783_APA-CDC-Facts-Pregnant-Persons-Mental-Health-Substance-Use-Conditions.pdf,92453,a81abdc7837221590556feb020dd976c2942dcd02a91aa0f545429c06e7b2fd7
Perinatal mental health,https://www.psychiatry.org/patients-families/peripartum-depression,Psychiatry.org - Perinatal Depression (formerly Postpartum),Persons with Mental Health and Substance Use Conditions Who are Planning to Become Pregnant (.pdf),https://www.psychiatry.org/getmedia/8778dac2-5837-45ec-895b-2321e1116638/APA-CDC-Facts-Persons-with-Mental-Health-Substance-Use-Conditions-Planning-to-Become-Pregant.pdf,https://www.psychiatry.org/getmedia/8778dac2-5837-45ec-895b-2321e1116638/APA-CDC-Facts-Persons-with-Mental-Health-Substance-Use-Conditions-Planning-to-Become-Pregant.pdf,application/pdf,dae6850cc8_APA-CDC-Facts-Persons-with-Mental-Health-Substance-Use-Conditions-Planning-to-Become-Pregant.pdf,/Users/jm/Psychiatry-Clerkship-Library/13_Faculty_Resources/APA_Downloads_2026-06-29/files/dae6850cc8_APA-CDC-Facts-Persons-with-Mental-Health-Substance-Use-Conditions-Planning-to-Become-Pregant.pdf,90570,dae6850cc84cf45fcae26ba2ae41bfd28b699b05da132dcce5108a03f2c3baf5
Perinatal mental health,https://www.psychiatry.org/patients-families/peripartum-depression,Psychiatry.org - Perinatal Depression (formerly Postpartum),Persons Who Develop Mental Health or Substance Use Conditions Within a Year of Giving Birth (.pdf),https://www.psychiatry.org/getmedia/cda60968-80f2-4c15-9190-cc0f858e4679/APA-CDC-Facts-Persons-Who-Develop-Mental-Health-Substance-Use-Conditions-Within-Year-of-Giving-Birth.pdf,https://www.psychiatry.org/getmedia/cda60968-80f2-4c15-9190-cc0f858e4679/APA-CDC-Facts-Persons-Who-Develop-Mental-Health-Substance-Use-Conditions-Within-Year-of-Giving-Birth.pdf,application/pdf,71859baf26_APA-CDC-Facts-Persons-Who-Develop-Mental-Health-Substance-Use-Conditions-Within-Year-of-Giving-Birth.pdf,/Users/jm/Psychiatry-Clerkship-Library/13_Faculty_Resources/APA_Downloads_2026-06-29/files/71859baf26_APA-CDC-Facts-Persons-Who-Develop-Mental-Health-Substance-Use-Conditions-Within-Year-of-Giving-Birth.pdf,92338,71859baf262bb60b5e2a2b90f0ba2c475112e71501a90a094cd883ef86fdf0de
Spanish patient and family education,https://www.psychiatry.org/patients-families/la-salud-mental/trastorno-por-deficit-de-atencion-con-hiperactivid/%C2%BFque-es-el-tdah,Psychiatry.org - ¿Qué es el TDAH?,Guía para padres sobre medicamentos: TDAH,https://www.psychiatry.org/File%20Library/Psychiatrists/Practice/Professional-Topics/Child-Adolescent-Psychiatry/adhd-parents-medication-guide-spanish.pdf,https://www.psychiatry.org/File%20Library/Psychiatrists/Practice/Professional-Topics/Child-Adolescent-Psychiatry/adhd-parents-medication-guide-spanish.pdf,application/pdf,797c5a45ab_adhd-parents-medication-guide-spanish.pdf,/Users/jm/Psychiatry-Clerkship-Library/13_Faculty_Resources/APA_Downloads_2026-06-29/files/797c5a45ab_adhd-parents-medication-guide-spanish.pdf,1356837,797c5a45abf61b81ef387e054cfb45453d356683760f7830f57f76e5a73d2791
Patient and family education,https://www.psychiatry.org/patients-families/peripartum-depression,Psychiatry.org - Perinatal Depression (formerly Postpartum),Preparing for your Medical Appointment (.pdf),https://www.psychiatry.org/getmedia/0d8265b8-4489-41d0-820d-314214357433/APA-CDC-Preparing-for-Mental-Health-Appointments.pdf,https://www.psychiatry.org/getmedia/0d8265b8-4489-41d0-820d-314214357433/APA-CDC-Preparing-for-Mental-Health-Appointments.pdf,application/pdf,504f2cb178_APA-CDC-Preparing-for-Mental-Health-Appointments.pdf,/Users/jm/Psychiatry-Clerkship-Library/13_Faculty_Resources/APA_Downloads_2026-06-29/files/504f2cb178_APA-CDC-Preparing-for-Mental-Health-Appointments.pdf,89312,504f2cb178d26fbb2142d47272d2a08f34cd375156dee11b64af09dc78cbf7e5
Telepsychiatry and digital care,https://www.psychiatry.org/patients-families/telepsychiatry,Psychiatry.org - What is Telepsychiatry?,Read the full position statement.,https://www.psychiatry.org/getattachment/a9405e26-3a69-4e9d-95b6-5df9568fb443/Position-Telemedicine-in-Psychiatry.pdf,https://www.psychiatry.org/getattachment/a9405e26-3a69-4e9d-95b6-5df9568fb443/Position-Telemedicine-in-Psychiatry.pdf,application/pdf,0b153cf125_Position-Telemedicine-in-Psychiatry.pdf,/Users/jm/Psychiatry-Clerkship-Library/13_Faculty_Resources/APA_Downloads_2026-06-29/files/0b153cf125_Position-Telemedicine-in-Psychiatry.pdf,168177,0b153cf1255f5a742b9955abe7d9dbb7004579d710fc3364e399f336d14b3119
Spanish patient and family education,https://www.psychiatry.org/patients-families/la-salud-mental/trastorno-por-consumo-de-sustancias/folleto,Psychiatry.org - Folleto,Descargar el Folleto,https://www.psychiatry.org/getmedia/443c49ec-bd80-4fef-8656-26909157883e/trastorno-por-consumo-sustancias-folleto.pdf,https://www.psychiatry.org/getmedia/443c49ec-bd80-4fef-8656-26909157883e/trastorno-por-consumo-sustancias-folleto.pdf,application/pdf,2b059af6a8_trastorno-por-consumo-sustancias-folleto.pdf,/Users/jm/Psychiatry-Clerkship-Library/13_Faculty_Resources/APA_Downloads_2026-06-29/files/2b059af6a8_trastorno-por-consumo-sustancias-folleto.pdf,144420,2b059af6a8f4744be092bdbb224d5a8056c72f197374671bc2587b3864d8ad91
"Diversity, culture, and equity",https://www.psychiatry.org/psychiatrists/diversity/education/african-american-patients,Psychiatry.org - African Americans,Mental Health Facts for Diverse Populations (.pdf),https://www.psychiatry.org/getmedia/bac9c998-5b2d-4ffa-ace9-d35844b8475a/Mental-Health-Facts-for-Diverse-Populations.pdf,https://www.psychiatry.org/getmedia/bac9c998-5b2d-4ffa-ace9-d35844b8475a/Mental-Health-Facts-for-Diverse-Populations.pdf,application/pdf,c7cd151e97_Mental-Health-Facts-for-Diverse-Populations.pdf,/Users/jm/Psychiatry-Clerkship-Library/13_Faculty_Resources/APA_Downloads_2026-06-29/files/c7cd151e97_Mental-Health-Facts-for-Diverse-Populations.pdf,550802,c7cd151e97b74e78d5bd82b865840f25aedf4d187f48335957f5e030337cae14
